start_time,normalized_power,avg_heart_rate,intensity_factor,ef
2025-05-10 12:57:45,197.46,119.3,0.595,1.6551550712489522
2025-05-11 11:39:45,185.23,124.46,0.558,1.4882693234774225
2025-05-13 12:35:54,222.39,132.84,0.67,1.6741192411924117
2025-05-13 13:52:09,159.94,115.95,0.482,1.379387667097887
2025-05-14 13:02:57,211.83,123.74,0.638,1.7118959107806693
2025-05-16 09:04:00,198.94,124.36,0.599,1.599710517851399
2025-05-17 09:55:12,162.35,105.88,0.489,1.5333396297695505
2025-05-18 05:00:36,269.94,161.76,0.813,1.6687685459940653
2025-05-27 12:56:41,263.48,142.71,0.794,1.846261649498984
2025-05-29 13:35:31,186.32,119.03,0.561,1.5653196673107619
2025-05-30 08:39:56,230.34,135.94,0.694,1.6944240105929087
2025-05-31 10:22:32,210.89,125.58,0.635,1.6793279184583532
2025-06-01 10:56:07,203.41,124.84,0.613,1.6293655879525792
2025-06-03 09:38:54,252.75,144.95,0.761,1.7437047257675062
2025-06-05 09:47:46,225.2,127.5,0.678,1.7662745098039214
2025-06-06 07:54:11,227.1,141.04,0.684,1.610181508791832
2025-06-07 09:02:24,196.94,117.84,0.593,1.6712491513917176
2025-06-10 08:23:12,247.66,147.02,0.746,1.6845327166371922
2025-06-16 18:29:25,184.56,124.15,0.556,1.4865888038662907
